BGC ID,Louvain cluster,closest MIBiG BGC,distance to closest MIBiG,Is_0.51_Assigned
CHL22_SR_220328_F_contig_25350.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_EP170215_S_contig_746.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LP_220401_F_contig_39473.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_PR_220403_F_contig_34025.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_GE180403_S_contig_371.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
NR_230731_F_NODE_8210_length_5901_cov_1.091964.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
EPR_teddybear_k141_728098.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_82215.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_PR_220403_F_contig_36953.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_53176.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_38799.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_40097.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_160539.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_19891.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LA_220331_F_contig_11384.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
FEN_LS_S_NODE_4546_length_7910_cov_4.245321.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_BS180407_F_contig_28288.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_QH170213_1_S_contig_1943.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545382_k141_985035.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_116870.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_3175607.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_3229.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_45161.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LR_220331_F_contig_55126.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_12174.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_LP180406_F_contig_6911.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_100297.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_EQ_220330_F_contig_43400.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LP_220401_F_contig_18201.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_96683.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_CL180409_F_contig_1211.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_16449.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_127226.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
AEO22_OS_220830_F_contig_24960.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_IS_220328_F_contig_4714.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
AEO22_CF_220902_F_contig_12836.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LP_220401_F_contig_73494.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_LB180410_S_contig_14837.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
HYD22_SP_221019_F_contig_14558.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_PR_220403_F_contig_35255.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CN_220327_F_contig_666.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_58320.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
HYD22_SP_221019_F_contig_20620.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
HYD22_CB_221018_F_contig_1734.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_47145.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR17_PF170222_S_contig_2271.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_18334.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
TR_230731_F_NODE_28701_length_2577_cov_0.995918.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
HYD22_FC_221023_F_contig_46369.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_GE180403_S_contig_18814.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CR18_GE180403_S_contig_29584.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CR18_LH180406_F_contig_10195.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
AEO22_AC_220827_F_contig_34164.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CR18_GE180403_S_contig_20085.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_12302.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
HYD22_SB_221021_F_contig_9455.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
AEO22_TC_220902_F_contig_31500.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_144614.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_47987.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
HYD22_TA_221020_F_contig_16251.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
HYD22_SB_221021_F_contig_526.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR17_QH170213_1_S_contig_598.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_544126.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_26252.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_RS170216_S_contig_379.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_LH180406_F_contig_4208.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_32591_length_4116_cov_0.779393.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_27539.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_484_length_90609_cov_12.667459.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_2043619.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR17_CY170214_S_contig_13521.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_23538.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_30612.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_CH180410_F_contig_4789.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_78725.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_11162.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545382_k141_476811.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
EPR_teddybear_k141_69577.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_26271.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_140152.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_YR180404_F_contig_1404.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
AEO22_OS_220830_F_contig_61641.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_LB180410_S_contig_6021.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_CW180415_S_contig_31.region002.gbk_region_2,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_66341.region001.gbk_region_1,C3338538,BGC0000980.gbk_region_1,0.48,No (Directly observed)
CR19_LR_190628_S_contig_11660.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_CY170214_S_contig_30.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_SL170214_S_contig_337.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CZ_220329_F_contig_14183.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_87492.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_MC180404_S_contig_20410.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545382_k141_1917864.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_3468.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_2697171.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
AEO22_TC_220902_F_contig_26938.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_27717.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_10213.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_PR_220403_F_contig_39806.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_4872.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
HYD22_CB_221018_F_contig_486.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_179741.region001.gbk_region_1,C3338539,BGC0000149.gbk_region_1,0.49,No (Directly observed)
AEO22_LB_220827_F_contig_9878.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_PR_220403_F_contig_13224.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_RS_220319_F_contig_61282.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_LE180416_S_contig_3571.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_169852.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR17_CY170214_S_contig_18300.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_F_contig_677.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_68679.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_136813.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_103194.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
HYD22_FC_221023_F_contig_3037.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_62547.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_15390.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_HA180403_F_contig_9284.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CN_220327_F_contig_38406.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_RS_220319_F_contig_10293.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_31848.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_77415.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_106485.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_BW180407_F_contig_1279.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_66576.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_89948.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_BW180407_F_contig_24198.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_15445.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545382_k141_1762945.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_21476.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_37412.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
FEN_LS_F_NODE_1314_length_13674_cov_7.111609.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_547644.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_S_contig_8498.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_CI180408_S_contig_152.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_LH180406_S_contig_75.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
EPR_teddybear_k141_14708.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_GB_220322_F_contig_25305.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_158651.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_287441.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
EPR_alvinella_k141_223984.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_MC180404_S_contig_21684.region001.gbk_region_1,C3338542,None,0.51,Yes (No MIBiG connection)
AEO22_GV_220827_F_contig_2553.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_101373.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_RS_220319_F_contig_30782.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_39625.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_105699.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LN_220321_F_contig_13679.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
AEO22_TC_220902_F_contig_379.region001.gbk_region_1,C3338541,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_90354.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_15213.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_LW180405_S_contig_844.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_90662.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR17_FA170219_1_S_contig_7091.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_ET170220_1_S_contig_174.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_F_contig_2050.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
FEN_GA_S_NODE_527_length_4235_cov_3.877273.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_2972.region001.gbk_region_1,C3338535,BGC0001835.gbk_region_1,0.46,No (Directly observed)
CHL22_CU_220402_F_contig_95042.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_768.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_XF180416_F_contig_91.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_ER180415_F_contig_1582.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545382_k141_138111.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_CV180410_S_contig_13.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_FA170219_1_S_contig_158.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_6211.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545382_k141_1593437.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545382_k141_820873.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_GE180403_S_contig_20280.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CN_220327_F_contig_3854.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
HYD22_SC_221020_F_contig_3685.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_BW180407_F_contig_27614.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_29039.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_101090.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
TR_230731_S_NODE_40845_length_2119_cov_0.753514.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_38951.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_CZ_220329_F_contig_54293.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
AEO22_HO_220830_F_contig_236.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_LW180405_S_contig_17822.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_ER180415_F_contig_6878.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
FEN_LS_S_NODE_7602_length_5344_cov_4.293250.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_84336.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_CH180410_F_contig_3707.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_144752.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_117379.region001.gbk_region_1,C3338541,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_5771.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_65584.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_43332.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_8887.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_94575.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_12575.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_123663.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_435503.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_10863.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_92886.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CR18_LE180416_F_contig_47323.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_ES170215_1_F_contig_477.region001.gbk_region_1,C3338536,BGC0002138.gbk_region_1,0.35,No (Directly observed)
CR17_RS170216_S_contig_260.region001.gbk_region_1,C3338536,BGC0002138.gbk_region_1,0.47,No (Directly observed)
CR17_SI170217_S_contig_1592.region001.gbk_region_1,C3338536,BGC0002138.gbk_region_1,0.47,No (Directly observed)
CR17_PG172224_S_contig_43936.region001.gbk_region_1,C3338542,None,0.51,Yes (No MIBiG connection)
CR17_BR170218_2_F_contig_10699.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_QN170220_S_contig_278.region001.gbk_region_1,C3338536,BGC0001872.gbk_region_1,0.44,No (Directly observed)
CHL22_CH_220319_F_contig_107462.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_7887.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_99080.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_LE180416_F_contig_15689.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_F_contig_2744.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_LP_220401_F_contig_32146.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CN_220327_F_contig_25579.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_CV180410_S_contig_19481.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_379.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_70297.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
